video_id,title,error
e87xaEjYMtg,Peanut Butter And Jelly 🥜 🍇 #shorts #supersimplesongs #kidssongs,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
X0SpQyIHVXQ,What is in the fridge? 🐧,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
gDInVjBUGC0,ELS: Phase 3 pronunciation,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
bWAIgN_DTxo,Everything You Need to Know About K2-18b - Part 3!  | KLT #space #solarsystem #kidseducation,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
IzkmfRTktWc,Building Squares from Odd Numbers 1: Numerically,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
rifuEZFieaI,SUSTAINABLE DEVELOPMENT |#climatechange & #sustainability  | #shorts | FuseSchool,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
yTXtTX3t8fM,9.1 LogicLike - Educational games,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
xw4BPniE2m4,This Ruthless Spider Is the Master of the Jump Scare | #DeepLook #Shorts,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
23C5twKp72Q,Meet the Shapes | 'Rectangle' Dance | Preschool Prep Company #shorts,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
gB1dNEkogYk,Certified BOP,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
9M4JWcKEdL0,Three Space Weather Missions Lift Off,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
Oyu80bhbrNk,Screen Time That Earns Its Place,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
CYEyoUUfA8A,Routines That Build More Than Content Knowledge,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
NkY57mizvMI,🐯 Meet TINKER! 🐯 | Your Favorite Farm Explorers Characters | Baby Einstein | #Shorts,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
UpDPJICdhhg,6.6 LogicLike - Educational games,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
LpUzg3Dc-m0,"Never Take Seashells From Beaches, Here's Why!","The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
3CfvBCAPZyE,Ms. Rachel Counts to 10 with Blippi and Meekah! BRAND NEW EPISODE this Saturday! #Shorts #blippi,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
kopx0X8XTMM,"Stand like a flamingo with Ms. Rachel, now playing on Netflix! 🦩","The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
GJuO4MzYrtI,Thank You Teachers! | SciShow Kids,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
rtAwdYTjNhY,Quick Quiz! Who's Larger? Male or Female Hammerhead Sharks?🦈🦈  | 5 Minute Stories | @natgeokids,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
GKLRkTA64N0,Numbers Silly Song,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
U9Q7Y3t4m3g,Good Morning Song For Children | Learn English Kids,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
KoDg_L6B2y4,Let Them Cook: Collard Greens 🥬 | Phoebe & Jay | PBS KIDS #Shorts,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
6QdwB7ZCyMA,@Numberblocks- Meet Number Nine | Learn to Count | Meet the Numberblocks,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
YI0bd8Tw8rE,@Numberblocks- Meet Number Seven | Meet the Numberblocks | Learn to Count,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
6M3IrkyNNT8,@Numberblocks- Meet Number Five | Meet the Numberblocks | Learn to Count,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
_OcW8ZHGZr8,Back To School Reading for Kids 📚 | Learn to Read and Spell for Kids | Alphablocks,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
1y8MZvPhCKE,The Best of Alphablock O  | Learn to Read and Spell for Kids | Alphablocks,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
HrDl_1Ov8gc,Learn Colors with Wonderville Friends | Pinkfong & Hogi | Colors for Kids | Learn with Hogi,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
xoamCzuQjy0,Colors Vocabulary Chant for Kindergarten Children | Fun Kids English,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
0VLxWIHRD4E,Let's Count to 20 Song For Kids,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
Be4j6lJpFTQ,Counting to 20 Song For Kids | Learn To Count From 1-20 | Pre-K - Kindergarten,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
-PxShNDmIHw,Let's Spell Words ending in 'at'!  | Learn to Read and Spell for Kids | Alphablocks,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
mXMofxtDPUQ,Days of the Week Song | The Singing Walrus,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
OtalQpNt2UQ,"Dora & Boots Go On a Puppy Adventure! 🐶 | FULL EPISODE ""Perrito's Big Surprise"" | Dora the Explorer","The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
kDdg2M1_EuE,The Alphabet Is So Much Fun | Kids Songs | Super Simple Songs,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
1nJ5VbyD6tY,2D Shapes Song,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
VdzzE20zQC8,The Shapes Song | Nursery Rhymes | Nursery Rhymes With Lyrics,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
g2jdZ46nK-M,"Shapes Song For Kids-Circle, Triangle, Square, Heart | Toddlers, Preschool","The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
pfRuLS-Vnjs,The Shapes Song,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
36n93jvjkDs,Days of The Week Song For Kids,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
L8A4XbM5sXA,"Dora Becomes a Doctor! 🩺 | FULL EPISODE ""Doctor Dora"" | Dora the Explorer","The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
