video_id,title,channel,label,query_used,youtube_url
G8nuZu0VDp4,5 Minute Stories Book Read-Along 📚 | A Baby Sea Turtle's Journey 🐢 | @natgeokids,Nat Geo Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=G8nuZu0VDp4
CGSJCE0Rqnw,Is laughter ACTUALLY the best medicine?! 😂🤣 #shorts #clip,Operation Ouch,Educational,handpicked_educational,https://www.youtube.com/watch?v=CGSJCE0Rqnw
e87xaEjYMtg,Peanut Butter And Jelly 🥜 🍇 #shorts #supersimplesongs #kidssongs,Super Simple Songs - Kids Songs,Educational,handpicked_educational,https://www.youtube.com/watch?v=e87xaEjYMtg
X0SpQyIHVXQ,What is in the fridge? 🐧,English Singsing,Educational,handpicked_educational,https://www.youtube.com/watch?v=X0SpQyIHVXQ
gDInVjBUGC0,ELS: Phase 3 pronunciation,Oxford Owl - Learning at Home,Educational,handpicked_educational,https://www.youtube.com/watch?v=gDInVjBUGC0
bWAIgN_DTxo,Everything You Need to Know About K2-18b - Part 3!  | KLT #space #solarsystem #kidseducation,KLT,Educational,handpicked_educational,https://www.youtube.com/watch?v=bWAIgN_DTxo
IzkmfRTktWc,Building Squares from Odd Numbers 1: Numerically,MathTV,Educational,handpicked_educational,https://www.youtube.com/watch?v=IzkmfRTktWc
rifuEZFieaI,SUSTAINABLE DEVELOPMENT |#climatechange & #sustainability  | #shorts | FuseSchool,FuseSchool - Global Education,Educational,handpicked_educational,https://www.youtube.com/watch?v=rifuEZFieaI
yTXtTX3t8fM,9.1 LogicLike - Educational games,LogicLike,Educational,handpicked_educational,https://www.youtube.com/watch?v=yTXtTX3t8fM
xw4BPniE2m4,This Ruthless Spider Is the Master of the Jump Scare | #DeepLook #Shorts,Deep Look,Educational,handpicked_educational,https://www.youtube.com/watch?v=xw4BPniE2m4
23C5twKp72Q,Meet the Shapes | 'Rectangle' Dance | Preschool Prep Company #shorts,Preschool Prep Company,Educational,handpicked_educational,https://www.youtube.com/watch?v=23C5twKp72Q
gB1dNEkogYk,Certified BOP,GoNoodle | Get Moving,Educational,handpicked_educational,https://www.youtube.com/watch?v=gB1dNEkogYk
9M4JWcKEdL0,Three Space Weather Missions Lift Off,NASA,Educational,handpicked_educational,https://www.youtube.com/watch?v=9M4JWcKEdL0
Oyu80bhbrNk,Screen Time That Earns Its Place,BrainPOP,Educational,handpicked_educational,https://www.youtube.com/watch?v=Oyu80bhbrNk
CYEyoUUfA8A,Routines That Build More Than Content Knowledge,BrainPOP,Educational,handpicked_educational,https://www.youtube.com/watch?v=CYEyoUUfA8A
NkY57mizvMI,🐯 Meet TINKER! 🐯 | Your Favorite Farm Explorers Characters | Baby Einstein | #Shorts,Baby Einstein,Educational,handpicked_educational,https://www.youtube.com/watch?v=NkY57mizvMI
UpDPJICdhhg,6.6 LogicLike - Educational games,LogicLike,Educational,handpicked_educational,https://www.youtube.com/watch?v=UpDPJICdhhg
LpUzg3Dc-m0,"Never Take Seashells From Beaches, Here's Why!",BRIGHT SIDE,Educational,handpicked_educational,https://www.youtube.com/watch?v=LpUzg3Dc-m0
3CfvBCAPZyE,Ms. Rachel Counts to 10 with Blippi and Meekah! BRAND NEW EPISODE this Saturday! #Shorts #blippi,Blippi - Educational Videos for Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=3CfvBCAPZyE
kopx0X8XTMM,"Stand like a flamingo with Ms. Rachel, now playing on Netflix! 🦩",Netflix Jr.,Educational,handpicked_educational,https://www.youtube.com/watch?v=kopx0X8XTMM
GJuO4MzYrtI,Thank You Teachers! | SciShow Kids,SciShow Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=GJuO4MzYrtI
rtAwdYTjNhY,Quick Quiz! Who's Larger? Male or Female Hammerhead Sharks?🦈🦈  | 5 Minute Stories | @natgeokids,Nat Geo Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=rtAwdYTjNhY
GKLRkTA64N0,Numbers Silly Song,The Soft Roots - Topic,Educational,handpicked_educational,https://www.youtube.com/watch?v=GKLRkTA64N0
U9Q7Y3t4m3g,Good Morning Song For Children | Learn English Kids,Dream English Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=U9Q7Y3t4m3g
KoDg_L6B2y4,Let Them Cook: Collard Greens 🥬 | Phoebe & Jay | PBS KIDS #Shorts,PBS KIDS,Educational,handpicked_educational,https://www.youtube.com/watch?v=KoDg_L6B2y4
6QdwB7ZCyMA,@Numberblocks- Meet Number Nine | Learn to Count | Meet the Numberblocks,Numberblocks,Educational,handpicked_educational,https://www.youtube.com/watch?v=6QdwB7ZCyMA
YI0bd8Tw8rE,@Numberblocks- Meet Number Seven | Meet the Numberblocks | Learn to Count,Numberblocks,Educational,handpicked_educational,https://www.youtube.com/watch?v=YI0bd8Tw8rE
6M3IrkyNNT8,@Numberblocks- Meet Number Five | Meet the Numberblocks | Learn to Count,Numberblocks,Educational,handpicked_educational,https://www.youtube.com/watch?v=6M3IrkyNNT8
_OcW8ZHGZr8,Back To School Reading for Kids 📚 | Learn to Read and Spell for Kids | Alphablocks,Alphablocks,Educational,handpicked_educational,https://www.youtube.com/watch?v=_OcW8ZHGZr8
1y8MZvPhCKE,The Best of Alphablock O  | Learn to Read and Spell for Kids | Alphablocks,Alphablocks,Educational,handpicked_educational,https://www.youtube.com/watch?v=1y8MZvPhCKE
HrDl_1Ov8gc,Learn Colors with Wonderville Friends | Pinkfong & Hogi | Colors for Kids | Learn with Hogi,Hogi! Pinkfong - Learn & Play,Educational,handpicked_educational,https://www.youtube.com/watch?v=HrDl_1Ov8gc
xoamCzuQjy0,Colors Vocabulary Chant for Kindergarten Children | Fun Kids English,Fun Kids English,Educational,handpicked_educational,https://www.youtube.com/watch?v=xoamCzuQjy0
0VLxWIHRD4E,Let's Count to 20 Song For Kids,Dream English Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=0VLxWIHRD4E
Be4j6lJpFTQ,Counting to 20 Song For Kids | Learn To Count From 1-20 | Pre-K - Kindergarten,Math Songs by NUMBEROCK,Educational,handpicked_educational,https://www.youtube.com/watch?v=Be4j6lJpFTQ
-PxShNDmIHw,Let's Spell Words ending in 'at'!  | Learn to Read and Spell for Kids | Alphablocks,Alphablocks,Educational,handpicked_educational,https://www.youtube.com/watch?v=-PxShNDmIHw
mXMofxtDPUQ,Days of the Week Song | The Singing Walrus,The Singing Walrus - English Songs For Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=mXMofxtDPUQ
OtalQpNt2UQ,"Dora & Boots Go On a Puppy Adventure! 🐶 | FULL EPISODE ""Perrito's Big Surprise"" | Dora the Explorer",Dora & Friends,Educational,handpicked_educational,https://www.youtube.com/watch?v=OtalQpNt2UQ
kDdg2M1_EuE,The Alphabet Is So Much Fun | Kids Songs | Super Simple Songs,Super Simple Songs - Kids Songs,Educational,handpicked_educational,https://www.youtube.com/watch?v=kDdg2M1_EuE
1nJ5VbyD6tY,2D Shapes Song,Hopscotch Songs,Educational,handpicked_educational,https://www.youtube.com/watch?v=1nJ5VbyD6tY
VdzzE20zQC8,The Shapes Song | Nursery Rhymes | Nursery Rhymes With Lyrics,Oh My Genius - Nursery Rhymes And Kids Songs,Educational,handpicked_educational,https://www.youtube.com/watch?v=VdzzE20zQC8
g2jdZ46nK-M,"Shapes Song For Kids-Circle, Triangle, Square, Heart | Toddlers, Preschool",Dream English Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=g2jdZ46nK-M
pfRuLS-Vnjs,The Shapes Song,KidsTV123,Educational,handpicked_educational,https://www.youtube.com/watch?v=pfRuLS-Vnjs
36n93jvjkDs,Days of The Week Song For Kids,Dream English Kids,Educational,handpicked_educational,https://www.youtube.com/watch?v=36n93jvjkDs
L8A4XbM5sXA,"Dora Becomes a Doctor! 🩺 | FULL EPISODE ""Doctor Dora"" | Dora the Explorer",Dora & Friends,Educational,handpicked_educational,https://www.youtube.com/watch?v=L8A4XbM5sXA
nk6QEJkNWHc,A day in my cottage life,MyEnglishCountryCottage,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=nk6QEJkNWHc
Nx9rbyz3iDc,What really happens when we cover our cameras 😮,Speed McQueen,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=Nx9rbyz3iDc
ZY-NF22bKXY,Aesthetic Quiet Morning Study Vlog 🌿 | Productive & Peaceful ‘Study With Me,Studywithemmane,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=ZY-NF22bKXY
DvpQHdQFJdE,Study vlog 📚 ˙✧˖° #study #studymotivation #shorts #short #shortvideo #shortsfeed #studyvlog #viral,NAOMI BIRD,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=DvpQHdQFJdE
s_hAnPdkBTI,How to wake up in the morning to study 📚 #studymotivation #shorts,LittleSane,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=s_hAnPdkBTI
7wNyw7DlY0A,How to study when you are tired after school 📚😳#shorts #studymotivation,LittleSane,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=7wNyw7DlY0A
l5RrO6cYy_A,day in my life as a college student🎀,Ashley Manzano,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=l5RrO6cYy_A
aBAOUEVdNJA,those school days... 😭🌷 #shorts #aesthetic #school #youtubeshorts #trending #bts #jk #v #rose #lisa,@VRosie2008,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=aBAOUEVdNJA
LDD6hX0lpj8,aesthetic morning routine 🌸 #aesthetic #grwm #morningroutine,Alexis Jacobo,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=LDD6hX0lpj8
PyOmuhdibVM,Nightly Routine #cleaning #apartment #shorts,Mackenzie William,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=PyOmuhdibVM
MmgFk1oL9a8,🥹how beautiful is this 😍#viral #sky #airplane #view,That Dusky Beauty,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=MmgFk1oL9a8
-G49u2y-0U4,Mom and Dad use girls as mops 😂😂 #shorts,The Karshna Family ,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=-G49u2y-0U4
qRDSgx5PF9g,Pictures that relieve anxiety! #shorts,Sollarice,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=qRDSgx5PF9g
R_CD6ellkyk,Relaxing Video of a Sunrise Beach #shorts,Real World,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=R_CD6ellkyk
nkqet4ca25A,REALITY vs SLOW MO! 🎥,Legendary Shots,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=nkqet4ca25A
RM485oUuOhg,Switzerland: The Land of Pure Nature,Beautiful Paradise in Earth,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=RM485oUuOhg
sOxloXyOAKA,Nature View Cristal beach Beuti of nature 4k View shorts video 📸😍,Love The Nature ,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=sOxloXyOAKA
qbIgrxIfHxI,"Beautiful Nature with Rural Life - Harvest grapes, peaches and plums",Mashi - Rural Life,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=qbIgrxIfHxI
7aKsPwH1iss,beautiful sunset video #shorts #love #nature #sunset #viral#youtubeshorts #viral #new#sun #sunset #,Beautiful nature,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=7aKsPwH1iss
Lvkf2bwch7w,My morning routine #shorts,KFoltyn,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=Lvkf2bwch7w
C4l7rfjX49I,Who won? #shorts #family,Krys & Kareem FAM,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=C4l7rfjX49I
J5hKPShTi3E,4 Ways To Get Organized,RocketKids,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=J5hKPShTi3E
_C-cxckDJX0,morning routine #shorts,kaeli mae,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=_C-cxckDJX0
qaRYVwND3SQ,"How to Blow Your Nose - Life Skills for Kindergarten, First, and Second Grade!",Miacademy & MiaPrep Learning Channel,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=qaRYVwND3SQ
xgJjg4HSo4A,Organize – Teach Kids to Stay Tidy and Focused | Learning Ladders,Learning Ladders,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=xgJjg4HSo4A
RjpRL6tv3Cw,Bluey and Bingo Pretend to be Dinosaurs! 🦖 | 30 MINUTES | Animal Game and More Clips | Bluey,Bluey - Official Channel,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=RjpRL6tv3Cw
tSEhQO0zlGQ,Thomas the Rescue Engine | Cartoon Compilation | Magical Birthday Wishes | Thomas & Friends™,Thomas & Friends,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=tSEhQO0zlGQ
gbsgbcd_-2U,PAW Patrol Rescue Wheels Adventures! #7 w/ Chase 🚗 2 Hours | Nick Jr.,Nick Jr.,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=gbsgbcd_-2U
_fsjQXoqFtM,Precious Plant GOES TO THE BIN! | Mr Bean Animated  | EP 11 Season 4 Full Episode,Mr Bean,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=_fsjQXoqFtM
s0bS-SBAgJI,The Water Cycle- How rain is formed-Lesson for kids,learning junction,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=s0bS-SBAgJI
89QRrnnYPNw,How Do Plants Grow? | Knowsy Nina Wants to Know,Knowsy Nina,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=89QRrnnYPNw
AGYPvz9Dov8,"HIPPO VIDEOS FOR KIDS - Facts about Hippopotamuses for Children, Preschoolers and Kindergarten",Kiddopedia,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=AGYPvz9Dov8
Ae4MadKPJC0,Human Body 101 | National Geographic,National Geographic,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=Ae4MadKPJC0
0JDCViWGn-0,Human Body Systems Overview (Updated 2024),Amoeba Sisters,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=0JDCViWGn-0
SNF8b7KKJ2I,"Ecosystems for Kids | Plants, Animals, & Their Environment",Homeschool Pop,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=SNF8b7KKJ2I
e2JMt_YJveM,What are clouds? ☁☁ How are they formed? | Educational Vídeo for Kids,Happy Learning English,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=e2JMt_YJveM
NQOD8oBfZjs,A Day In The Life Of Serengeti Animals | Serengeti II | BBC Earth Kids,BBC Earth Kids,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=NQOD8oBfZjs
bjRpNYq8Ts0,Exploring the Adorable World of Baby Animals | BBC Earth Kids,BBC Earth Kids,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=bjRpNYq8Ts0
ws_D5nXOAJg,The Stunning Life Cycle Of A Ladybug | The Dodo,The Dodo,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=ws_D5nXOAJg
k14YDC1Kn-o,The Lion and The Mouse | Fairy Tales | Gigglebox,Gigglebox,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=k14YDC1Kn-o
i4CPSH6eQWE,The Very Hungry Caterpillar | Bedtime stories for kids | Fairy tales for toddlers with Moral lessons,Twinkle Tales Time,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=i4CPSH6eQWE
hkz51Td9k5A,Read Aloud Kids Book: It's A Firefly Night! | Vooks Narrated Storybooks,Vooks - Stories and Read Alouds for Kids,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=hkz51Td9k5A
_f1QbJm1irY,The Smartest Giant in Town - Animated Read Aloud Book,Reading is,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=_f1QbJm1irY
qoXM4iykEz8,"How to Get a Good Night's Sleep - Healthy Sleep Habits for Kindergarten, First, and Second Grade!",Miacademy & MiaPrep Learning Channel,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=qoXM4iykEz8
oY-H2WGThc8,Clean Up Song for Children - by ELF Learning,ELF Kids Videos,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=oY-H2WGThc8
lmRmk2HrqYA,Animal Showdown 🐻🐊🦅 | 25 Minutes | Nat Geo Kids Compilation | @natgeokids,Nat Geo Kids,Neutral,handpicked_neutral,https://www.youtube.com/watch?v=lmRmk2HrqYA
c_NGdBIlu0M,aayu and pihu show 👦😍👩#shortvideo #aayuandpihushow #viral #cute #shorts,aayu and pihu show shorts,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=c_NGdBIlu0M
vXkY5wIWu18,Kaden Eva & Emma Jump in a Hole! Fun Rescue Challenges Adventure,Toys and Colors,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=vXkY5wIWu18
LSfqhUKf0X0,Villains are taking over! We need YOUR help! #ninjakidztour #ninjakidztv #fyp #shorts #trending,Ninja Kidz TV,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=LSfqhUKf0X0
THYU9WgZD_Y,This is going to be AWESOME! #ninjakidztour #ninjakidztv #trending #liveshow,Ninja Kidz TV,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=THYU9WgZD_Y
ki5wRkJWPP8,Vlad plays with magic masks,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=ki5wRkJWPP8
mepSmUC6HWM,Monsters Play Trash Basketball!,✿ Kids Diana Show,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=mepSmUC6HWM
tisxrc_6zbE,Chris collects toys for his gaming room,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=tisxrc_6zbE
Ov-KDfyUR0A,Vlad and Niki build a construction kit,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=Ov-KDfyUR0A
hNFppd7L0Bg,OMG CAPCUT HAS SMOOTH VELOCITY 😮!?! || never have i ever #shorts,aedevii,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=hNFppd7L0Bg
geyzFEhOu_s,Rich Princess Treats the Prince 👑,✿ Kids Diana Show,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=geyzFEhOu_s
eg2mr1IticM,EASTER EGG ASMR! 🐣💚🩷🩵 #asmr #asmrsounds #relaxing #satisfying #trend #fun,David Beck,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=eg2mr1IticM
zdQfvoKNLhE,Oh! Hero Piggy Saved the Little Lamb! 🐷🦸‍♂️ #Shorts #HeroStory #AnimalFun,Little Baby Bum - Nursery Rhymes & Kids Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=zdQfvoKNLhE
UvVKtqlxJq8,Try NOT To Laugh: Silly Jokes For Kids PART 2!,RadKidz TV,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=UvVKtqlxJq8
mDzIA3VUFKI,Lunar New Year Dance 💃👯🏮 Talking Tom #Shorts,Talking Tom,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=mDzIA3VUFKI
9h8RmsptqaI,New Chicken Dance #shorts  by The Learning Station #kidsvideo #childrenssongs #toddlersongs,TheLearningStation - Kids Songs and Nursery Rhymes,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=9h8RmsptqaI
R0vgSne0jE8,Shapes are EVERYWHERE #shorts,Baby Shark Classroom - Learning for Kids,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=R0vgSne0jE8
KyBYuEgvFl0,Baby Car | Car Songs | Pinkfong Songs for Children,Baby Shark - Pinkfong Kids’ Songs & Stories,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=KyBYuEgvFl0
MvXOhpSuTx4,Shoo Be Doo Birthday🥳🎈#birthday #birthdaycelebration #birthdaycake #birthdaydance #birthdayparty,Mother Goose Club,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=MvXOhpSuTx4
hV5eWushhbQ,3 Skeletons Were Riding On A Bus - Crazy Skeletons #shorts #teeheetown #halloweensongs,HooplaKidz - Official Nursery Rhymes Channel,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=hV5eWushhbQ
AS2gsXyn4ts,A Cute Zombie's Message Just for You! 💫#shorts #funny #zombie #trendingshorts #allbabieschannel,HooplaKidz - Official Nursery Rhymes Channel,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=AS2gsXyn4ts
49df3lEIYyg,Baby Got a Boo Boo | Nursery Rhymes & Kids Songs | BabyBus #shorts,BabyBus - Kids Songs and Cartoons,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=49df3lEIYyg
QK_4HL1vK0o,Escaping 100 Layers of CANDY Challenge!!,Vlad,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=QK_4HL1vK0o
MG10BPnR53k,Who Is Eating Sugar Secretly? 🍬🤫 #Shorts #KidsStory #FunLearning,Little Baby Bum - Nursery Rhymes & Kids Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=MG10BPnR53k
cixocSycC3A,So Satisfying 😳,Brandon B,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=cixocSycC3A
10OJhIc_-vw,Minecraft Speedrunner VS 6 Hunters REMATCH,Dream,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=10OJhIc_-vw
v3BCkHGnKT4,Andrea Becomes Superheroes to Save the Toys!,Toys and Colors,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=v3BCkHGnKT4
0LnhNC_wHY8,"Rain, Rain, Go Away Nursery Rhyme in 4K - ChuChu TV Kids Songs for Infants #ChuChuTV100M",ChuChu TV Nursery Rhymes & Kids Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=0LnhNC_wHY8
aJxxbI9HIRU,Baby Shark - Sing and Dance - Part4 #Shorts #ChuChuTV #NurseryRhymes #KidsSongs #ChuChuTV100M,ChuChu TV Nursery Rhymes & Kids Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=aJxxbI9HIRU
daL2STCfFHw,Building Our Family Island in Tomodachi Life: Living the Dream!,Ryan's World,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=daL2STCfFHw
I_4Xw57Lt-k,Kids Cars Adventures Compilation,✿ Kids Diana Show,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=I_4Xw57Lt-k
Rw3NxD-p8_U,"Possible 1x1x1x1?? recent ""hacking/exploit"" january 2014",TheSmootGurl,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=Rw3NxD-p8_U
PL7vHFGRViA,Satisfying with Unboxing & Review Miniature Fidget Board Toys Kitchen Video | ASMR Videos,namu rainbow toys,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=PL7vHFGRViA
qJIYkbAgR8c,Yes Yes Vegetables | 🥕 The Hungry Easter Bunny! 🐰 | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=qJIYkbAgR8c
Kx241A5WsDI,Blippi & Yellowcard GO GO GO on a World Tour 🎸,Blippi - Educational Videos for Kids,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=Kx241A5WsDI
yeVTvh9HU8s,Blippi Meets Dr. Ted the Puppy at the Hospital 🐶,Blippi - Educational Videos for Kids,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=yeVTvh9HU8s
viurF6fz9Xg,"$1 VS $1,000,000 99 NIGHTS IN THE FOREST BASE",Ryan's World,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=viurF6fz9Xg
YSA2f19ABPk,Chris and friends in Magic Escape Adventures for kids,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=YSA2f19ABPk
4HGwX5b44Yc,Superheroes Teamwork Adventures for kids,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=4HGwX5b44Yc
fhPaQwEoGGM,Kids Trapped in Minecraft!,✿ Kids Diana Show,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=fhPaQwEoGGM
_Dwbf5WjjJA,IMPOSTERS are PRANKING US! FULL MOVIE!,Ninja Kidz TV,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=_Dwbf5WjjJA
zZz91aicTuU,Power Rangers Ninja Kidz Battle with Healthbars!,Ninja Kidz TV,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=zZz91aicTuU
zugFjQ8tN3E,Eva Emma & Kaden Playground Germs! Let’s Clean Together,Toys and Colors,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=zugFjQ8tN3E
2bUTxSPyCzo,Hide and Seek in One Color with Oliver and Friends,Diana and Roma World,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=2bUTxSPyCzo
zHT2nY-Gq1I,Kids Learn About All Their Feelings at the Emotion Doors!,Diana and Roma World,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=zHT2nY-Gq1I
rbVkRDOjMa8,Sunny Bunnies | Shiny Bright Bunny | COMPILATION | Videos For Kids,WildBrain Zoo,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=rbVkRDOjMa8
fTYhA_j6cUw,Water Safety Song | Run Away from Sharks | Super Safeguard Sammy | Pinkfong Official,Baby Shark - Pinkfong Kids’ Songs & Stories,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=fTYhA_j6cUw
JhH-_QXzQ3o,Baby Seal: Not Home Alone (Full Episodes) | SEALOOK Compilation,SEALOOK Official,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=JhH-_QXzQ3o
0j_AbvBOWZw,More Baby Seals for You (Part3)  | SEALOOK Compilation,SEALOOK Official,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=0j_AbvBOWZw
pr5U8x-kCMM,LARVA - RAINING | Larva 2017 | Cartoons | Comics | Larva Cartoon | LARVA Official,Larva TUBA,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=pr5U8x-kCMM
MfIwF6QoRm4,Police Officer Visits Doctors | Boo Boo Song & More Hospital Play | Pinkfong Official,Baby Shark - Pinkfong Kids’ Songs & Stories,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=MfIwF6QoRm4
6VQip5MI5d8,Johny Johny Yes Papa + Wheels On The Bus + Baby Shark + A Ram Sam Sam | Learn Colors Songs,LooLoo Kids - Nursery Rhymes and Children's Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=6VQip5MI5d8
-gajDGMq7Lg,When a girl gets you angry 😂 #roblox #tsb #shorts @dbloxontop,Cheesymembey,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=-gajDGMq7Lg
